id,collection,dc:title,dc:description,dc:format,dcat.Distribution.downloadURL,dc:source,foaf:homePage,dct:SizeOrDuration,dc:relation,dc.relation.uri
+,123456789/293169,System_KGRF,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRBzVtgXc2hfqo3Ds79BjR2LECtiuNFWFTBb4Bd7u8HxQ,LOD Laundromat,https://github.com/LOD-Laundromat,1064,System_KGRF|System_KGRF|System_KGRF|System_KGRF|System_KGRF|System_KGRF|System_KGRF|System_KGRF,QmXXcUznxa2qEBkcyYydy92HfGxTBG7BXT56TrE5AKP3dP|QmQjNmZZhqwXMKGtgvyMrodemXpuBZ8A5CyaQPgcph5wz2|QmZ1YSfkP3iWjAJPUEp8jgKLXr6jnrx9iJPixih1yS96EJ|QmXXxoiqUJ5BCsHVJwmxzj6puZcm55kFjsYc82whgvSsq4|QmSP9Dpq3u1qvS34Lwr9GYn4noei9fYbSWkTR3t8MHgWoB|QmchT1FYLBqT6edis8pk2suKaSyvABq3Qf6VQCfDxvGby6|Qmf3S9fm7tX2NJYMiQS7GsZFpor3oFoU1ABvaGuVygbhHN|QmPNHUd5BPWsoYcZ6SXPaoPxftMSMyYBTd8DSvNmjkWEkk
+,123456789/293169,System_AS702,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmYJbEbYscSBVu4WZRWCju8zaFYJur3rwjujVE2tJAXcSW,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_AS702|System_AS702|System_AS702|System_AS702,QmUXs6eDpBU3AcVTVozMu6tR91NeUf43MemzNjTWKqc9LX|QmSBLwcAky7RBiD4vWnYLViMesB46yRH6EVUfpjXj3TLt2|QmS5JuYn2hCt9Mt688sibJMdb9Y6hVci2rAiu2qciNeV7A|QmbAtAwxC58FYctT9hrYVsPS21tg1JrNhyZLFqH9Jg7KNy
+,123456789/293169,System_KRUE,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmYjKSCETZqrgjqektwJGM9fqgiVHiiLYj7sSxEPtyk6bT,LOD Laundromat,https://github.com/LOD-Laundromat,1560,System_KRUE|System_KRUE|System_KRUE|System_KRUE|System_KRUE|System_KRUE|System_KRUE|System_KRUE,QmebbdWXBrYAjq9PRV3ARF6uVdW68CwpfnfAZGbVHFpM5v|QmVPd1V931eDqVpHaZA4FUoFBHM8VvJ2JZdm1BgFouW7e7|QmVw3AJ8SHyuU4hTbufqPMVvyoYrreRKoJubjurYgXRbt9|QmaXJefrm8QrEeAzEgLwiGLQRjNc4aavECXd8VwEm429wS|QmejXvBhPYZ9zByijkXZLv7anzhYxpLAVNP1SEoPBEzfuB|QmVXghSHutFBsqhh4CqBUUzYRrFZfHPXPyc2rs5eGht3WR|QmdcLULdwvT2Pkp1Gk5fzs1aU36UaXW3kxq7e8GtE3V9ad|QmXBWma39V7xbjmeYeRP2UbnK9xpKaQCTXhweo2fK2iZZr
+,123456789/293169,System_GVLI1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmbizqqKLpwQKgSHNacXcqfUzea5MEsAFXrAM1MZgYX3sH,LOD Laundromat,https://github.com/LOD-Laundromat,16128,System_GVLI1|System_GVLI1|System_GVLI1|System_GVLI1|System_GVLI1|System_GVLI1|System_GVLI1|System_GVLI1,QmVG6eCi4y17wvm6QVgJJKEFE66mwwTqs1W1ELVpbczCmx|QmdoWH3qiDJzhbxE8EaUyRYD5PYBWqoHwRRa1n21uSt6mY|QmQU8m8FLiWzpLSn3r6bDBSAnCMq5bxnCGKuAAAYmGo9RA|QmPh5DTjFFPqZNHNvC3PdTCqWunBquX8B9r8N9wg8bTjoj|QmWVCMn8k1zRg5QjMvhe4u6vAbN3SEqGGrsH22T6Ywkkhg|QmVfgp6oAfF5t7dkBpCnMyu6LdMc3np5dKRAtkc6psojng|QmS2XaNhEdzzBoeqTcH5gGjCKqo4BZL9eYD5jAP75qZnuN|QmW6Ee3fKRXyn6y8Mdbj48v3CKtFHf27MYG4KEBxcWLPZX
+,123456789/293169,System_C8220,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmcYHqtFzUKzPYEWRzohipsE7vV5bW9arY5XVfSbwiTwnm,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_C8220|System_C8220,QmZzTRw1cpi8Kut1A5eDVfmNKvrUrWUpuTuVgkQYyadf6x|QmbAA9YJNSCAu6HXGxxCkvEpNPt44EpmZbRSf5vT9cYonq
+,123456789/293169,System_RTFO3,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmUEA3728G6QbavhbuWPn9NRAXGqWouuVMQzcoWbDV9UEk,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_RTFO3|System_RTFO3|System_RTFO3|System_RTFO3|System_RTFO3|System_RTFO3|System_RTFO3|System_RTFO3,QmcJnuEbyFKMojrQbgFBWt4oVk1gZaH8xFTHTTG4gdrDm8|QmRQno5eZ6K8BFbQTwPtGGezZRMurDENJD36J3SGPSKDEv|QmYSg8L7nxgXtgTtSEYEHbAWeNhcjTvUPg3u1hz2dp4biG|QmWp9SDJdZk5UadhqmPNjrcbsfPRAtuEJWD2iv4wtqnrLC|QmY7b9Fa9zhJTySpmKciTzN341J1oHn2YpYwoj5QfYnJS3|QmRQ1R93FMZ1L9p81HMPT6a4qbYSFXvJ34C4CUJNAejuyx|Qmbxn5BtC9jNM3S4Dwr3Y2G33i5NxTBxVmmNU3vLzyyuaR|QmcvXJepoZDmAQ6vKZn8GzeKwPev9u6PSuMbAVCQYsL8Dt
+,123456789/293169,System_KFEP,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXtN319w56ZG5BW8QHqhgrwXAC8BTA7Qt2m7tZS6nymuq,LOD Laundromat,https://github.com/LOD-Laundromat,4680,System_KFEP|System_KFEP|System_KFEP|System_KFEP,QmTk6RhS9uJLYQ1cyw7dn9eKU9N2tDnB4nKftPadL81Fsn|QmVYGAu145ChSdhSHbwVy7cx6Rz4Xpa3QKc63PGSSRZsJj|QmSyWxteX9to3LrYzNJJ81FCy4W1SECdiyEgtJjSVAB7uB|QmYNkYgvoG9SfGAg5wQmtPDyw7pdyFGob592DSAbUSBQsk
+,123456789/293169,System_C2551,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmNXnHB6v82rLdRpgn49NyxHLkqQdbmq5jHh3Uo2wg1Ee9,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_C2551|System_C2551|System_C2551|System_C2551,QmWREJa75H3gwffqmvHaJ9NjHBZ6sZd4NmxNY4pdMsoNbf|Qmd8smZ8eKtMxJL2evXT4NNYKoU2JpQYMfCgxpVtCyVtCM|QmcJbgFQ15kdqZymBC3QG8JkZCNAVfDKaxmGVVhjkGRBnr|QmZWmaicKm8WRXS4reV1Y3D65UcN2zKwpr49rvGGY4DEx9
+,123456789/293169,System_C2789,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRraXH2Tw9jQBrPTgLpDAwF48bHvrUZpFB1EUZzL4V88b,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_C2789|System_C2789|System_C2789,QmTkUKTFAvF59M39Thd1JncRhbz9g4XKSccbHqXdiyRS6d|QmeEBoBf9zwYEdeGWoymzoikzJqXq3SacwmQ8RHWb3TEuT|QmVsUnW186npr571Ai5msySMNraU4mjBxefVtvcYeCP6LL
+,123456789/293169,System_GSTC1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmPj2dJX7oXyik1EcpNh8N5fwocV946wuTT85reajYB2te,LOD Laundromat,https://github.com/LOD-Laundromat,8352,System_GSTC1|System_GSTC1|System_GSTC1|System_GSTC1|System_GSTC1,QmcEVF4GaNhmn86Ey5dRFKXw4PTVd1iAwDtiEbXgF7h8KK|QmayHZjyq82hHYPNfi8KHkGCwkiXdwWefRnDdisSrzbtF8|QmWUCLfAaW2usZBGE5BHpgNb11GrngCDFebkVq78AiGKBV|QmNSNsfZPHSsrxe1L46qErw5HSPnNcdDouvFE25kTmejpn|QmPQ1oataGkGLsUPkKg99v4ttufiB13q6XhSmAVpYP8w3t
