id,collection,dc:title,dc:description,dc:format,dcat.Distribution.downloadURL,dc:source,foaf:homePage,dct:SizeOrDuration,dc:relation,dc.relation.uri
+,123456789/293169,System_C1141,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRSueGRuEKcTeuMq9xNyRD3gLpXvuxiTkexwxNfAFYL4y,LOD Laundromat,https://github.com/LOD-Laundromat,4760,System_C1141|System_C1141|System_C1141|System_C1141|System_C1141|System_C1141,QmUmV8NTGNNtz7A2iT1t4kogUQRjFgNpCZ3jZsJfbb6Ji9|QmaevLuPFpjxumbGDhhHEQoDDHDmoKVyA3AExopV8HGCXr|QmPfgmBtnuQ2hMfJsNYUUmJU6RqqsNaNqQtp5GTTfCut1x|QmR3FDCNSxRHkUkw87CPQRpwZkmHYtsZw2LyQvZrHRB57z|QmXriBBGAmCJyHz2AdimJoBNg6LWcofMX6P5XzABJxKo12|QmQwEL2xnFwkH3BtT8hxeT5nvZUNbB5xaza7Wwbd1RADAg
+,123456789/293169,System_BRKO,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmZCFNgkGnHfcawYtXS6uiUTx7y3BxWmohAsbn5Cz5h9ro,LOD Laundromat,https://github.com/LOD-Laundromat,6110,System_BRKO|System_BRKO,QmPqGQ2q7F4TGbYNV5bb8dwufwkQ2QEYTdCH6V5YgAzf1w|QmX2HewQE6Qt7F8i82REEYnQ6xS4LekYp1eyg3ksTnRecA
+,123456789/293169,System_KBKW,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmciRrmJZVg2ADNd5edmPYsBAaqE3TaSm8Xyfa8sSXnbz3,LOD Laundromat,https://github.com/LOD-Laundromat,2368,System_KBKW|System_KBKW|System_KBKW|System_KBKW|System_KBKW|System_KBKW|System_KBKW|System_KBKW,QmYckC7ZhaX21dzWroYg6qutAWi7cKhA3nQ4kixeGQq5Zb|QmZFXMSmMtwqXaxgUEfbkeMsAKBVC16uASJFTQjLHwR5qT|Qma8G7HBaGx6qxYnRTVnhbF292YtLTxT5UXDd1Xz14tWTH|QmXdnVVPEtAvmZpQJx3tcKUKGomiSthK9dQWJD56zWgEB5|QmPmVVWyWmuPY6cYQSd9Hat34ndYWfu34zG5dJDzdUYUFc|QmYNpugg2n19xiAQn6kaVW8EitNd99roFGFWeXtpPJbLnn|QmbffoNjcebGG4yV72fdGkq7MMEmf5ZBGpX6oKPEN1DJbr|QmQrpJe8SYYBoKcfrCQYHFGdWCULGRUuCHGqCGV5yBusbo
+,123456789/293169,System_KCKB,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXMZqtjPmQjNf1UBmYz8db48wHdwnjEveBXVqk8aJN5hZ,LOD Laundromat,https://github.com/LOD-Laundromat,1560,System_KCKB|System_KCKB|System_KCKB|System_KCKB|System_KCKB|System_KCKB|System_KCKB|System_KCKB|System_KCKB,QmT6YYykKWyhWm8H2D8vuEcBxUzYQi1BkHcFRKDZJCrjAH|QmNpj5keTsw4zcXBJuJPBrM3gTVquUP93UUBCXJ7SMRjWZ|QmaYnzQNxsjUbT2szLoxkL8MFN5oeC25QmPJPThNx4Sbby|QmNfWmq92pqiZ5MkM2Xh9DE65Af1Pt6hj11fV9fCVoP4sR|QmPZ5ULnqKG6jv4PT9Ys5QDBaLkXoyzNvRQm9dmfRX5wHB|QmX9pRAnaXTxVBvLQa6FuccJPosYHMHu7P84SubmngQVVu|QmRsrGF3pEogSWjLi7ybCsYLZTzupvq3cBXwGXcPajnBWt|QmZahzWxHpAVEZfhVXdYkvC4NM7UJ74n9rZiRzhg86x9uw|QmZZg9VqtERLrjJAkA1Cyq4tisZrGbTrozyohtyZHXU8mk
+,123456789/293169,System_AP190,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmNbYBe5bMT6thgSiXgqG3aYmJcT1in8FKCQxQAKTdhz3N,LOD Laundromat,https://github.com/LOD-Laundromat,5320,System_AP190|System_AP190|System_AP190,QmbnDFMPmNXWSEw8YNH8Woxzh1dNnzHuyEXsVG299yCJai|QmXYSfnGwjdUJpLQe66XeX4RjUjgxdGNLai4FKqkGDmTeQ|QmYwCc5SEmisD6ub3zShuUSzCXuQahy59hEZuw31yagC9x
+,123456789/293169,System_LUFI1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmbwRnkoUMrs6HX53M1erbg9U855WjDi7QC8HhsSoyxeiq,LOD Laundromat,https://github.com/LOD-Laundromat,2400,System_LUFI1|System_LUFI1|System_LUFI1|System_LUFI1,QmVX7gd49LhLUJUxhZXda3xMc3br6ehkUmCcfRXVpNZwGE|QmbSVEkBCHzCDnHASbJxgqFvZjAdh7wmabXRs1kXNXNGcM|QmRwMJgvYdrCXn3UNYDcw8kWtr8baoa5cbYPMHdt6tw7se|QmQbBGgkGWA4GdFCGaHTu6y7K4s6ViUrvAekwqJoKxxVBG
+,123456789/293169,System_KFDR,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmcqUF1QFpL7T3nDyYV4wd587WhYCCxyKV3fKobY6AgiNC,LOD Laundromat,https://github.com/LOD-Laundromat,1776,System_KFDR|System_KFDR|System_KFDR|System_KFDR,QmPcangxFn3B3RCskqWxvB1BBc4LmeJ4otoEojKv2aac3Z|QmUXnirn24G9XcuP4i6WaT1dVwMKKSck8gxLfWKGCLcWPg|QmNam6vWpS1xdQ8tzYRtMQ1z4U4Z5BRr1yKitxWf4j23wU|QmUhnA6WHKvnU9icNGsgurXHNw61pjnjuDSoaYHysynpGq
+,123456789/293169,System_AP008,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmR3MPr8yWMWpfQHLC3zfQ5HjzZWFD81QBCVUm3Lw8JN1w,LOD Laundromat,https://github.com/LOD-Laundromat,6175,System_AP008|System_AP008|System_AP008|System_AP008|System_AP008|System_AP008|System_AP008,QmPfzYsnucxsbCjgyRw8K7URUjJcNfLHJ83HCKjeRcqMn9|QmNbKNJZi91PEajmoX1G9KvhPfuWnKv4b5iAPHcx6gqn9r|QmZ3wG7N2Ju7EqekSZMxkon9mHdtZ4K2uy1toMPivEoBre|Qmcxs2aDK9LZG5cBGhni3WW8FpsWsytdw6QGfJpJYpgxQ1|QmRP5RxgPsx5JgsFKWPR5SBsQs5gmUoxEW8wjYoWZYbruL|QmYsMTWv7nuiYm6xGVfg892jZb1aq8KHs5aQncf4w9HyQh|QmaDSCPQJeenXYgoqEanQVAqqtL79dHtfjeoKdP74FamJW
+,123456789/293169,System_KRAL,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmaRUWazyFZ9gNauJW4c6yv19kcA5vA8mh5mX3tdgonPAD,LOD Laundromat,https://github.com/LOD-Laundromat,1776,System_KRAL|System_KRAL|System_KRAL|System_KRAL|System_KRAL|System_KRAL|System_KRAL,QmZwb8axt9RhZoGsxhb7WbhfHy2sWQi9JFoVNfyE8voccL|QmZzPS2yPZ1BUQZe9QQEqVpcMmF9wGgy3UpxjtVbpyZwEB|QmQAMikzHEB9yY9Csk38GFZMpfbANwi5vvu3Wab5KaGhkq|QmUdXHR22Aj6cGhEZBkbGAYaRZQCpDTcftjGN3VrSAf4c8|QmT5Jnf59ZJvA2M58ZZzJMHtSmUGiwqhYg2A16zk9Gh5Xb|QmXYRqt9AbCcF4pPSLjVYCWYKWS7yWsTY92mi2f3Zjim5r|QmTfbAkLaxmXLJ15wqu3ERYHwRNvF6iUHpBsH8YghxVgNj
+,123456789/293169,System_C9719,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmVSWVnmW73yBgRYZwBJ7SyBQD2u2yf2E6ukJgVLeNMnFw,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_C9719|System_C9719|System_C9719,QmThWPbyXWEaaR4C6wZzaMVJuZFs87VmKDhaQi1YCVn8m2|QmRf5yGDMJRDwj4LPRHiDxGu9WtTRN5vY3KKybBMd5rrCs|QmXnFndBEoXte7w6xHPxMarpAAMkEpoHR6V3rRNEy26HxX
+,123456789/293169,System_AR605,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRGi1tuXQDMoajEgfMJgrZoxdq9AvfCWhQohsjEm6FBhU,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_AR605|System_AR605|System_AR605|System_AR605,QmPxMLwVrGiuConXRNtcz7Qfi27GV4rpept9EZQFJct3gT|QmP2TFx1C8rATpEfhKMtRW7jwq7CtNCcUN5z7y56v9XMjN|QmaFCcbi5XArEShTkJN3QhNB8kWLCiLu7q168g8FBE5KFR|QmY3AWcr2F2qGbwpvCNjV5hLhzGxtRk1HrnKW837qxNPeQ
+,123456789/293169,System_CTHLT,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmQrpNtgwiQMctTdNFnzVsbLpCWADdvYdth95JcSqbRfRz,LOD Laundromat,https://github.com/LOD-Laundromat,1776,System_CTHLT|System_CTHLT|System_CTHLT|System_CTHLT|System_CTHLT|System_CTHLT,QmZBS3L6Mfkr6JGGGdWxh33ZDhocy1kwZGa6RW1sBo2Lrs|QmaFE1Pz5zyY5itbiXf9PKLR3ugaPrSUcusQmDhg9UneCs|QmfNMf3NP4qHt6AYRZZZFZzqfE1U8NaFypZhh1Yh2EUAZD|QmZm6hsfMNwSrpCY6HoFG1pF1UvudS14rNxZgSHXWSVXf2|QmcUMMAdVYQfTQf6w4BJMyB4wZC92ooqQ4znXur9iutcJX|QmYZCv4rFwGEoJJr4DykYzNnCLFHFBLBF97RiWzHy5Lxs3
+,123456789/293169,System_DHOC2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXPr31mtZURiWeGWFZC9itfR7naazGkUCYsm9fE9Aiujj,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_DHOC2|System_DHOC2|System_DHOC2|System_DHOC2|System_DHOC2|System_DHOC2|System_DHOC2,QmWbHgGPsfAbNKeEPc4ujk4kVK2iDcj4xpKi6mpvyTaS4K|QmQRyf59g1DqzpYdeeR1zTmivbvX2z8wQ4HwBhkUQh4rZ5|QmcoEujd2SJJB8bYxMTtjJZ7xA7z8f6TsKYHUxXkqt5MXr|QmbR4UH7vuZjPxNuL2w2ascrPEGX9Wg8fYDWaC4qxGem4C|QmRt3VNoEY6j9fpYmN4XZ6wB1QjqzgrtJescHgAfoWVYRJ|QmawkmcDXY1LYcoN7i14dQj8zG9C8PvbfRLZzVtZRo36Ju|Qmbokv14cZHwgcvTJS91mVsNJnv2PL9hqPfEGrX5GGpu9J
+,123456789/293169,System_KSMF,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRTJ1ot9mBqSarnhRm1T9Y2FkwUYUR3NbPA9C3u71PfaJ,LOD Laundromat,https://github.com/LOD-Laundromat,1776,System_KSMF|System_KSMF|System_KSMF|System_KSMF|System_KSMF|System_KSMF|System_KSMF,QmS3PiTSX8VaW4Pf1bzf6sNVZeCWRxv8VRZ3K4xmNrMQpu|Qma2iJu7fvnYLq5UfGq8DZXiDkbLRUqTUcsoJEXV3JYJee|QmV6DmcGrGkDG1P4yreVcdXiFUorEwYJpiqbtJaG3bCP8k|QmaJenC7LiJY2XZehhNTH31fzfbAYPPJw9rGpfbU25P54B|QmS83Y2YoQGteuULqxmGz95SERcvZcqY9ot36Lwi41fwcS|QmZkT2qR9vW5rv5Mot9U3NcRhyTC97KHjhrVPqi8wuphEn|QmYaZEbzXt7U4AoCEGLAwBdK1QNMyJGvAp6YseU78LEdn8
+,123456789/293169,System_C3448,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmYCde8pMfYaeMiB2hdARKJtu7YoWw97CPxvzxzrRSjTMx,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_C3448,QmRNSbk9zDkQzGAxduMd5i5FrX9PiUR4ySkZTcFCozsrEu
+,123456789/293169,System_FSLM8,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRCtTzFQ8QbLZf26Uvg8471JqeXQembwPneqC5NzwLzpH,LOD Laundromat,https://github.com/LOD-Laundromat,2400,System_FSLM8|System_FSLM8|System_FSLM8|System_FSLM8|System_FSLM8,QmR6cGgxaft5xWH4n79gbzJWZ4VQiA3FJdqk41kNndPuNM|QmQrP8iamCnAofPQHsGfzk2m1YofpCMYLhGNBGNsG7CPDj|QmXTiU45L3kEhFbB6C35Z63pnWSbJCzefHMbANwFcePHPA|QmRTMvFbaZ6sYX7MLootCAcqEHNtLCkRMo2BcU8i7eX2VY|QmeGFwUXybJtcE5yGmC9PVdAQirmJDkTgJoQcvApHgQgF5
+,123456789/293169,System_AR400,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXe3LENoW9Jr1FxzKqunYATf9mXjfst7PM8qj5dVwKA57,LOD Laundromat,https://github.com/LOD-Laundromat,4512,System_AR400|System_AR400|System_AR400|System_AR400|System_AR400|System_AR400|System_AR400,QmYCwWc4GGi42vRP4r5gCEqUjm14u21N3Uv7W6FTRQ2pMS|QmSGD3WJfWmnciPGvGmz81eEdgxyxT5ne16DU53UqFKvTQ|QmX6QU98sTrVojfgc9hG3uvZnyu8o67hK9jwyhMDvUyYB8|QmPsXunt5JrpRtymq4HCazmu8sqcQFnjZdtZes9DL7qj5f|QmbPpqaNqT6fxPRaUxSQYHqKHZFuwD1XuHcE1ouJB4pn6m|QmR93QM6uo2GJRftMEZCQaPtzQvcwdPGf5D5B4vE2A3vWd|QmXv9Ata8fSRNSsNuLsGe6Ybo9QNcTW3qsx2Z12q9UdLjw
+,123456789/293169,System_D0033,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmWdPMEqmZMBE2mJd7iJueK8b3BvQTDRcHHpx5qmV1TzLJ,LOD Laundromat,https://github.com/LOD-Laundromat,4183,System_D0033|System_D0033|System_D0033,QmZRPgrVPJM1gHowzqjtfP5JEDXToWNLd72ABK7nmUvKNc|Qmc44GDoK8Eg4LKT3grUDCK95AtDfmt9LRnZqrri2Gr6D4|QmSyfR9VsyTm1VhDf9LjkV5khUKic1kVrDFa6EnvxHqgRR
+,123456789/293169,System_PLFI1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXKrjSVKx64TPDpcFr4wPhDXWidi21P9W2wAsBhd331tY,LOD Laundromat,https://github.com/LOD-Laundromat,1128,System_PLFI1|System_PLFI1|System_PLFI1|System_PLFI1|System_PLFI1|System_PLFI1,QmXJhecvVMgvHP5ZTuXF1FmrrpjRG9hrk7PDHGkc1hZUCa|QmQbZKzRFahGmBY7KtgAYzvL78bcXTJKrveJaf9vXmMjdj|QmYGJ44oxgEwTm2JRJA8LSVccFaxLeTYtChoFEDUomwQnP|QmSufqXvb9iVdUqegnoPVM4Soca6km3u6xk1CGyummAeDH|QmfG2hWUi6wgMPQffLfhF776UUHsxtLcGYFnXUZUXkX1aP|QmToih7rChKFYLmd7TjEqQ8SYupKkzKsCw525kZpNgRkRm
+,123456789/293169,System_ESTW4,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmNjC5WWZR6WfHUUq42w3Q92f15f2VvXgSygQNpkEs2iMr,LOD Laundromat,https://github.com/LOD-Laundromat,1660,System_ESTW4|System_ESTW4|System_ESTW4|System_ESTW4|System_ESTW4,QmWLiUMgQ339ZJfAW5KQmtexP3qoay7bJ28BBRTr4Bj268|QmVDCpHD6RFk2FB5Yiv3XHs1ppr9vEVDWehqohimQQpzNH|QmdwR3pdjfbY7W8ErDtjsk25R9uypXCu3132W9Khvaxvvy|QmaV1QJojPHHH3Hq3SKKQZuK1DKxdDVBFmXAFfRpbxntqu|QmVKAfgDPMAL7omyzyhShULpaYdiBPrhPcE6qpbBKtGJyd
+,123456789/293169,System_ASTG1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmSUmiH1oyAvW3ZdKFHiL8RTUjL14nhXUtDe5wB7qgbg1s,LOD Laundromat,https://github.com/LOD-Laundromat,1056,System_ASTG1|System_ASTG1|System_ASTG1|System_ASTG1|System_ASTG1,QmSbtFi9aD2PRWht6zgj7HqD5PeTfrMu2YUWhXwwtQK2Ph|Qmc4BFrJFYUffYVssqNAgZdDnwtJkNMgxaPudbSMEouSA2|QmSprgiuN55hyjkbQjZgUXtXzTk1EMEajZimxFFP2iKsbS|QmVRRB61rmATeH8VA17KzsndhwZTLLnY333gKNMwkAifB5|QmUwst5GHTDWJ87GiCtFJNTZJV2ykxXNah5HhKVD58wzwU
+,123456789/293169,System_CTOC1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXv5vFLm4QqgewXJqATR6oJsvXHmHRkUQjps6K61R3FTQ,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_CTOC1|System_CTOC1|System_CTOC1|System_CTOC1,QmRGPBN259faqEgTWdMsBNDTuy6c8BjPM5Dfmu9xAGGwLZ|QmfPNvpwooUdjRCS2MTpzAdwEZcLGgLYnwDeSKfcdW5Pio|QmSD7cokPceyF2moBszjP8PKY4TRtiRNcy4rgaoRbFfezL|QmTxLw8ES5dnnRV7HTv3eqodLojznaAhGMpbNi3C8sdzPa
+,123456789/293169,System_GSE18,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmVEmdFNPcyyKTeGAM5bvjeJYyX6uWRhxKj7Km2Mw7pk5E,LOD Laundromat,https://github.com/LOD-Laundromat,1776,System_GSE18,QmTQ7qB2hj7wuZTpqqUWKXtUBqhsbHaj7GDhCEghkTbLbZ
+,123456789/293169,System_KBUU,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmdE5k6NZZzovb7aYyLgNVjkULVwjPVvZ28LVmNGNHaJdT,LOD Laundromat,https://github.com/LOD-Laundromat,3920,System_KBUU|System_KBUU|System_KBUU|System_KBUU|System_KBUU,QmZb44ugYst1grEPPFguY7zGVLCZywhqsGZYq7d6BG6hgY|QmYLnCkn8Y9G5a1jNbDhfks3a6DFs2FJNQSLFqz9dJhHEy|Qma1HFE5x38Wrovn3vvuaCA7vc8uH7QiPRhqqmTF5PZfnH|QmX2uW9fgbuyU6x6uz9BvngAhAeoY9w53n4EJYmpssX4uC|QmWy9n9iCGbw8EkQHexzsL1pn7crj3iVwpsz2nubfSCYTq
+,123456789/293169,System_AR777,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmTpz612SVUUt1CghBCUAwzhaAzjiqoMKYdKBLhwMwTmPk,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_AR777|System_AR777|System_AR777,QmVwVHibVQ5nwFvPUDZumLukTh2g7E76hrXgEB9wjnJyee|QmceCkSFPsT4oBMCFHQTPE3HM7LnNZswBJdGMkRegcAWsu|QmegvG1L9gDUh6JsB7Y6G4da3eD7neMYHtR7kiKg3bX1yZ
+,123456789/293169,System_FOSN2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmfFoDDTVP8KZybfsbiXoY4Kb64D3ZGKhSq7pShyKETgFv,LOD Laundromat,https://github.com/LOD-Laundromat,2856,System_FOSN2|System_FOSN2|System_FOSN2|System_FOSN2|System_FOSN2|System_FOSN2|System_FOSN2|System_FOSN2,QmaN8kkfDEsgkX8tS7ZYDJt45ciw5ryABq8ZHnJEdL5hSL|QmU6fyysxnunM1oMzLdM4a48JaFM2Kyw5bT9CQy74BYgzS|QmNqd2XdmBTQxvufWbGetQDLFDN62qk98Jur8MmrHQ3UT1|QmVhfmnGm5vsEj2XravcXPTwjCYvPwe5wBs6HT32Ly9ECo|QmfHUwH6v6GC3sCFVE9adNTGjC48DvpXrBR4sMiB4NnDtR|QmWmETMEQ6SgRBFa9Qrcke8oYpPPzxWtXbqxWdL3frWiGw|QmS2p4QX2h7Ro9rimVBVxNzawGajvkgzKbC7gc8F2nTz3R|QmWoHCGn8x24ZRMAK1rM2RLzfcrEkC3Rxw9yq4gtST8v8H
+,123456789/293169,System_AS442,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,Qmaf2e5JeFuKsYLhHSxs8q367B7oSzGWrPodhThptKhbGC,LOD Laundromat,https://github.com/LOD-Laundromat,5980,System_AS442|System_AS442|System_AS442|System_AS442|System_AS442,QmSbeBhzqocGVxT4bHutG6XMhLT2MHDqopDKXiBu3us4pU|QmP2NWyhMRKyz9pQiDxJVcCzVmZLgSvvVyfzREx1SSXnQP|QmSCoAQb7q1tTBaYWMPnWKmCShkDQ138MeRa5vrhpF8U95|Qmcoj33hYyUs7VmXPBG1W1XdEGoN1NFWtCa2muxfgQtc6Y|QmSaZxKx1zxNcApncWSsHxQBB5Xa82Zb1cZGoLgLbNdvzk
+,123456789/293169,System_MCRY,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmbmVuLHiHWwt62HrFfWUQiWWvoeKwRUhLcVKhw18PA7kp,LOD Laundromat,https://github.com/LOD-Laundromat,14170,System_MCRY|System_MCRY|System_MCRY|System_MCRY|System_MCRY,QmWsvS2AhDuNg5JpvJPnDzG5nqSmNRJbTSKj816ZZqGvko|QmR8M4nZchsuKtUFTzKmuYhDqfEqk3bUFngra35n1pdFWN|QmTDuTGdtzt7mHQxCM9wZzDXcrqgQ5HzpYJFog31bboJQ7|QmZU8V75RqUav38VnvG7aSpgWvHXJbfhAKxk3DVEdorDkX|QmdFQobVe5Ny63u791YD7F6VkQEtNUruqQk4jwwnJ3UPyg
+,123456789/293169,System_BASI1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,Qme4xwcA4D32qRKFCimSkaBdUXQ2GNvzAZbhhgs23EVpF1,LOD Laundromat,https://github.com/LOD-Laundromat,1080,System_BASI1|System_BASI1|System_BASI1|System_BASI1|System_BASI1|System_BASI1,QmNXQoBkM2VmTdefUT5HbqXnbhpG6i65dFVr1r7BDATtib|QmSg9k4cBDFs85aM2ABp9MupPAa5SvMykSP8vpmhwpuer6|QmUHY2Exxgygzp4e6Mn6brsdkZq5N1NYY4VqoxtFninWxu|QmRyFfwakWXb4YkmGZymCyj9nQb7m4ayX6L4B7TxQn973H|QmZ9MsJgrpbZNSWgVccjNTNqRJsLN1rPuPwnXFzijf2YbP|QmQT65AgaX5Vv5LkR5cjHLWYBBUUeA1fGyJHsry5iqYZgL
+,123456789/293169,System_KOLV,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmR1DWXyR7hr99VJokyuPXSQ41bkKKzdKPRZJLstuEgogs,LOD Laundromat,https://github.com/LOD-Laundromat,2886,System_KOLV|System_KOLV|System_KOLV|System_KOLV|System_KOLV|System_KOLV,QmYoQeAdfgyf8vuQfP6WarrAPzwbMdKzFJdsWYkGFbCc4S|QmXNvPrTXMKDcung3Whnk1Z2K9Qi7MoH43YEaQ6Qx2vM8N|QmXS8azuxqDUKPMfv2JtW7Gb1cRBYrHK1Cqy2aP3NXdJMm|QmacdKB6JPcwC44AhnqpqzxVf8rnFEnX4nBsVLNeVhs3v5|QmSuuGaEXeXLrAzJaC4V28PQGjSEhd3jdeEp64uRrmfr1v|QmaQDZWy4ve56PnfEB9RitDoAEmAk1qiAXngovu2Js4jeE
+,123456789/293169,System_FTSK2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmUUAj1qQxjnHHfoTPWkkUBZ8zyoqqKuyCqKQyfofesMrJ,LOD Laundromat,https://github.com/LOD-Laundromat,3168,System_FTSK2|System_FTSK2|System_FTSK2|System_FTSK2|System_FTSK2,QmdfBrhkEncroXNGKxoKem3qE93iZD8WCj2PugfKLV7V2P|QmQYxWtrm1YWE4vuTKRuCbRn9Vhn5oiPVx6m6Rixq4HLLB|Qmc6G3R7tvB4qd5GotPzJNwfM99SUprFdaRanZqJceP9Bh|QmWbnnYpWR4RFzgAo9Qu3xfyKuF6SWL48FirveAz8CBynZ|QmZstazDvXTFn3i8RH6VaE7i5EkDue6Ccjp9zoraC1GWry
+,123456789/293169,System_KUNI,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmeEs8nRNWEuvfoZzww7E9JgPR96mtoxxTkkbqPKYEnRjU,LOD Laundromat,https://github.com/LOD-Laundromat,4032,System_KUNI|System_KUNI|System_KUNI|System_KUNI,QmbKeHjk3EDgqjNkxvZKN3a29EZ95zK8MagjM2AegRaF2h|QmTsD9wxzXSDDKgo3Yir86NLJLB3vnawwbYo5yj5DU1oJ6|Qmf2jwtxm5yThXpp9fdBxE27MPg1qvvkuNM49wuG3kyB18|QmVPnaeNXRyWdDJSKwJZGuFjBeJGUW1Fp2AEDaE1UUtCrf
+,123456789/293169,System_TR337,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRX6ZWgWH8Lg14X2v81fp2YadRb2k7w82zHKrTrnFqBkH,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_TR337|System_TR337,QmZbCFFivrfrYq5T1kDGRxzBznmrzHtQbTHDeGWM1QBztS|QmVPYNq6qahSAArUt9QK87JiC5u4wciGtBnC21v4XvUncc
+,123456789/293169,System_GSPO2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,Qmao43ujJrRQWx4xSWmU147grQ1pekmTGmEuhJfqnc5bPY,LOD Laundromat,https://github.com/LOD-Laundromat,1344,System_GSPO2|System_GSPO2,QmYsWjGb4a7xThcRJwJtzRNRnomBKkaE5FfowUxGqTwP3i|QmXdbdDvS6TERAt3Yop3ZBbpGGGyeBmZD7MqJYKUqrqU6S
